#source:radsex-distrib;min_depth:5;signif_threshold:8.84596e-07;bonferroni:true;n_markers:56523
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	1448	1	1	False	-0.111111
0	2	192	0.453255	1	False	-0.222222
0	3	73	0.205903	1	False	-0.333333
0	4	28	0.088973	1	False	-0.444444
0	5	16	0.0352966	1	False	-0.555556
0	6	0	0.0124193	1	False	-0.666667
0	7	1	0.00372018	1	False	-0.777778
0	8	0	0.000898913	1	False	-0.888889
0	9	0	0.000162441	1	False	-1
1	0	2571	1	1	False	0.111111
1	1	340	1	1	False	0
1	2	146	1	1	False	-0.111111
1	3	114	0.57075	1	False	-0.222222
1	4	29	0.292584	1	False	-0.333333
1	5	23	0.133614	1	False	-0.444444
1	6	9	0.0531162	1	False	-0.555556
1	7	8	0.0177061	1	False	-0.666667
1	8	0	0.00467773	1	False	-0.777778
1	9	0	0.000898913	1	False	-0.888889
2	0	156	0.453255	1	False	0.222222
2	1	255	1	1	False	0.111111
2	2	154	1	1	False	0
2	3	93	1	1	False	-0.111111
2	4	88	0.617075	1	False	-0.222222
2	5	33	0.33355	1	False	-0.333333
2	6	19	0.154729	1	False	-0.444444
2	7	2	0.0593464	1	False	-0.555556
2	8	0	0.0177061	1	False	-0.666667
2	9	0	0.00372018	1	False	-0.777778
3	0	54	0.205903	1	False	0.333333
3	1	64	0.57075	1	False	0.222222
3	2	88	1	1	False	0.111111
3	3	107	1	1	False	0
3	4	55	1	1	False	-0.111111
3	5	36	0.635256	1	False	-0.222222
3	6	28	0.345779	1	False	-0.333333
3	7	10	0.154729	1	False	-0.444444
3	8	4	0.0531162	1	False	-0.555556
3	9	1	0.0124193	1	False	-0.666667
4	0	53	0.088973	1	False	0.444444
4	1	56	0.292584	1	False	0.333333
4	2	71	0.617075	1	False	0.222222
4	3	66	1	1	False	0.111111
4	4	66	1	1	False	0
4	5	46	1	1	False	-0.111111
4	6	34	0.635256	1	False	-0.222222
4	7	15	0.33355	1	False	-0.333333
4	8	8	0.133614	1	False	-0.444444
4	9	2	0.0352966	1	False	-0.555556
5	0	8	0.0352966	1	False	0.555556
5	1	40	0.133614	1	False	0.444444
5	2	44	0.33355	1	False	0.333333
5	3	67	0.635256	1	False	0.222222
5	4	69	1	1	False	0.111111
5	5	66	1	1	False	0
5	6	42	1	1	False	-0.111111
5	7	27	0.617075	1	False	-0.222222
5	8	9	0.292584	1	False	-0.333333
5	9	5	0.088973	1	False	-0.444444
6	0	10	0.0124193	1	False	0.666667
6	1	15	0.0531162	1	False	0.555556
6	2	39	0.154729	1	False	0.444444
6	3	33	0.345779	1	False	0.333333
6	4	47	0.635256	1	False	0.222222
6	5	38	1	1	False	0.111111
6	6	44	1	1	False	0
6	7	34	1	1	False	-0.111111
6	8	40	0.57075	1	False	-0.222222
6	9	18	0.205903	1	False	-0.333333
7	0	2	0.00372018	1	False	0.777778
7	1	8	0.0177061	1	False	0.666667
7	2	23	0.0593464	1	False	0.555556
7	3	85	0.154729	1	False	0.444444
7	4	22	0.33355	1	False	0.333333
7	5	43	0.617075	1	False	0.222222
7	6	50	1	1	False	0.111111
7	7	54	1	1	False	0
7	8	56	1	1	False	-0.111111
7	9	48	0.453255	1	False	-0.222222
8	0	0	0.000898913	1	False	0.888889
8	1	0	0.00467773	1	False	0.777778
8	2	0	0.0177061	1	False	0.666667
8	3	5	0.0531162	1	False	0.555556
8	4	20	0.133614	1	False	0.444444
8	5	31	0.292584	1	False	0.333333
8	6	52	0.57075	1	False	0.222222
8	7	88	1	1	False	0.111111
8	8	99	1	1	False	0
8	9	132	1	1	False	-0.111111
9	0	0	0.000162441	1	False	1
9	1	1	0.000898913	1	False	0.888889
9	2	1	0.00372018	1	False	0.777778
9	3	4	0.0124193	1	False	0.666667
9	4	2	0.0352966	1	False	0.555556
9	5	16	0.088973	1	False	0.444444
9	6	41	0.205903	1	False	0.333333
9	7	92	0.453255	1	False	0.222222
9	8	289	1	1	False	0.111111
9	9	1303	1	1	False	0
