#source:radsex-distrib;min_depth:5;signif_threshold:8.84596e-07;bonferroni:true;n_markers:56523
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	32278	1	1	False	-0.00990099
0	2	3450	0.857513	1	False	-0.019802
0	3	956	0.591611	1	False	-0.029703
0	4	255	0.421009	1	False	-0.039604
0	5	89	0.304879	1	False	-0.049505
0	6	37	0.223129	1	False	-0.0594059
0	7	41	0.16438	1	False	-0.0693069
0	8	16	0.121592	1	False	-0.0792079
0	9	18	0.0901522	1	False	-0.0891089
0	10	6	0.0669163	1	False	-0.0990099
0	11	0	0.0496785	1	False	-0.108911
0	12	3	0.0368617	1	False	-0.118812
0	13	2	0.0273213	1	False	-0.128713
0	14	0	0.0202181	1	False	-0.138614
0	15	1	0.014932	1	False	-0.148515
0	16	0	0.0110024	1	False	-0.158416
0	17	0	0.00808553	1	False	-0.168317
0	18	0	0.00592471	1	False	-0.178218
0	19	1	0.00432766	1	False	-0.188119
0	20	0	0.0031504	1	False	-0.19802
0	21	0	0.00228513	1	False	-0.207921
0	22	0	0.00165119	1	False	-0.217822
0	23	0	0.00118834	1	False	-0.227723
0	24	0	0.000851639	1	False	-0.237624
0	25	0	0.000607662	1	False	-0.247525
0	26	0	0.000431598	1	False	-0.257426
0	27	0	0.00030509	1	False	-0.267327
0	28	0	0.000214599	1	False	-0.277228
0	29	0	0.000150177	1	False	-0.287129
0	30	0	0.000104537	1	False	-0.29703
0	31	0	7.23687e-05	1	False	-0.306931
0	32	0	4.98153e-05	1	False	-0.316832
0	33	0	3.40899e-05	1	False	-0.326733
0	34	0	2.31874e-05	1	False	-0.336634
0	35	0	1.56733e-05	0.885901	False	-0.346535
0	36	0	1.05259e-05	0.594955	False	-0.356436
0	37	0	7.02199e-06	0.396904	False	-0.366337
0	38	0	4.65234e-06	0.262964	False	-0.376238
0	39	0	3.06053e-06	0.172991	False	-0.386139
0	40	0	1.99867e-06	0.112971	False	-0.39604
0	41	0	1.29539e-06	0.0732193	False	-0.405941
0	42	0	8.33055e-07	0.0470868	True	-0.415842
0	43	0	5.31438e-07	0.0300385	True	-0.425743
0	44	0	3.36223e-07	0.0190043	True	-0.435644
0	45	0	2.10902e-07	0.0119208	True	-0.445545
0	46	0	1.31129e-07	0.00741178	True	-0.455446
0	47	0	8.07889e-08	0.00456643	True	-0.465347
0	48	0	4.93079e-08	0.00278703	True	-0.475248
0	49	0	2.9803e-08	0.00168455	True	-0.485149
0	50	0	1.78337e-08	0.00100802	True	-0.49505
0	51	0	1.05614e-08	0.000596964	True	-0.504951
0	52	0	6.18801e-09	0.000349765	True	-0.514852
0	53	0	3.58568e-09	0.000202674	True	-0.524752
0	54	0	2.05411e-09	0.000116105	True	-0.534653
0	55	0	1.16289e-09	6.57301e-05	True	-0.544554
0	56	0	6.50341e-10	3.67592e-05	True	-0.554455
0	57	0	3.59126e-10	2.02989e-05	True	-0.564356
0	58	0	1.95734e-10	1.10635e-05	True	-0.574257
0	59	0	1.05244e-10	5.9487e-06	True	-0.584158
0	60	0	5.57996e-11	3.15396e-06	True	-0.594059
0	61	0	2.91575e-11	1.64807e-06	True	-0.60396
0	62	0	1.50081e-11	8.48303e-07	True	-0.613861
0	63	0	7.60525e-12	4.29872e-07	True	-0.623762
0	64	0	3.79197e-12	2.14333e-07	True	-0.633663
0	65	0	1.85918e-12	1.05086e-07	True	-0.643564
0	66	0	8.95839e-13	5.06355e-08	True	-0.653465
0	67	0	4.23883e-13	2.39591e-08	True	-0.663366
0	68	0	1.96843e-13	1.11261e-08	True	-0.673267
0	69	0	8.9595e-14	5.06418e-09	True	-0.683168
0	70	0	3.9968e-14	2.25911e-09	True	-0.693069
0	71	0	1.74305e-14	9.85224e-10	True	-0.70297
0	72	0	7.43849e-15	4.20446e-10	True	-0.712871
0	73	0	3.10862e-15	1.75709e-10	True	-0.722772
0	74	0	1.22125e-15	6.90284e-11	True	-0.732673
0	75	0	5.55112e-16	3.13766e-11	True	-0.742574
0	76	0	2.22045e-16	1.25506e-11	True	-0.752475
0	77	0	1.11022e-16	6.27531e-12	True	-0.762376
0	78	0	1e-16	5.6523e-12	True	-0.772277
0	79	0	1e-16	5.6523e-12	True	-0.782178
0	80	0	1e-16	5.6523e-12	True	-0.792079
0	81	0	1e-16	5.6523e-12	True	-0.80198
0	82	0	1e-16	5.6523e-12	True	-0.811881
0	83	0	1e-16	5.6523e-12	True	-0.821782
0	84	0	1e-16	5.6523e-12	True	-0.831683
0	85	0	1e-16	5.6523e-12	True	-0.841584
0	86	0	1e-16	5.6523e-12	True	-0.851485
0	87	0	1e-16	5.6523e-12	True	-0.861386
0	88	0	1e-16	5.6523e-12	True	-0.871287
0	89	0	1e-16	5.6523e-12	True	-0.881188
0	90	0	1e-16	5.6523e-12	True	-0.891089
0	91	0	1e-16	5.6523e-12	True	-0.90099
0	92	0	1e-16	5.6523e-12	True	-0.910891
0	93	0	1e-16	5.6523e-12	True	-0.920792
0	94	0	1e-16	5.6523e-12	True	-0.930693
