#source:radsex-distrib;min_depth:5;signif_threshold:8.84596e-07;bonferroni:true;n_markers:56523
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	26519	1	1	False	-0.0192308
0	2	4155	1	1	False	-0.0384615
0	3	914	1	1	False	-0.0576923
0	4	386	0.885928	1	False	-0.0769231
0	5	187	0.746215	1	False	-0.0961538
0	6	107	0.633379	1	False	-0.115385
0	7	70	0.540017	1	False	-0.134615
0	8	51	0.461493	1	False	-0.153846
0	9	25	0.394704	1	False	-0.173077
0	10	12	0.337459	1	False	-0.192308
0	11	12	0.288141	1	False	-0.211538
0	12	8	0.245516	1	False	-0.230769
0	13	4	0.208614	1	False	-0.25
0	14	3	0.176651	1	False	-0.269231
0	15	1	0.148983	1	False	-0.288462
0	16	1	0.125069	1	False	-0.307692
0	17	3	0.104447	1	False	-0.326923
0	18	1	0.0867212	1	False	-0.346154
0	19	2	0.0715422	1	False	-0.365385
0	20	1	0.0586041	1	False	-0.384615
0	21	0	0.0476348	1	False	-0.403846
0	22	1	0.0383911	1	False	-0.423077
0	23	0	0.0306551	1	False	-0.442308
0	24	0	0.0242306	1	False	-0.461538
0	25	0	0.0189411	1	False	-0.480769
0	26	0	0.0146276	1	False	-0.5
0	27	0	0.0111472	1	False	-0.519231
0	28	0	0.00837194	1	False	-0.538462
0	29	0	0.00618775	1	False	-0.557692
0	30	0	0.00449349	1	False	-0.576923
0	31	0	0.00320031	1	False	-0.596154
0	32	0	0.0022308	1	False	-0.615385
0	33	0	0.00151835	1	False	-0.634615
0	34	0	0.00100636	1	False	-0.653846
0	35	0	0.000647541	1	False	-0.673077
0	36	0	0.000403043	1	False	-0.692308
0	37	0	0.000241653	1	False	-0.711538
0	38	0	0.000138888	1	False	-0.730769
0	39	0	7.60785e-05	1	False	-0.75
0	40	0	3.94453e-05	1	False	-0.769231
0	41	0	1.91995e-05	1	False	-0.788462
0	42	0	8.68596e-06	0.490956	False	-0.807692
0	43	0	3.60824e-06	0.203949	False	-0.826923
0	44	0	1.35582e-06	0.0766349	False	-0.846154
0	45	0	4.5226e-07	0.0255631	True	-0.865385
0	46	0	1.30781e-07	0.00739213	True	-0.884615
0	47	0	3.17996e-08	0.00179741	True	-0.903846
0	48	0	6.24748e-09	0.000353126	True	-0.923077
0	49	0	9.40421e-10	5.31554e-05	True	-0.942308
0	50	0	1.00887e-10	5.70242e-06	True	-0.961538
0	51	0	6.9702e-12	3.93977e-07	True	-0.980769
0	52	0	2.68008e-13	1.51486e-08	True	-1
1	0	611	0.305179	1	False	0.111111
1	1	171	0.665698	1	False	0.0918803
1	2	181	0.912823	1	False	0.0726496
1	3	170	1	1	False	0.0534188
1	4	157	1	1	False	0.034188
1	5	177	1	1	False	0.0149573
1	6	209	1	1	False	-0.0042735
1	7	193	1	1	False	-0.0235043
1	8	82	1	1	False	-0.042735
1	9	46	1	1	False	-0.0619658
1	10	33	0.901985	1	False	-0.0811966
1	11	28	0.800186	1	False	-0.100427
1	12	13	0.707087	1	False	-0.119658
1	13	11	0.622293	1	False	-0.138889
1	14	12	0.54535	1	False	-0.15812
1	15	11	0.475783	1	False	-0.17735
1	16	6	0.41311	1	False	-0.196581
1	17	3	0.356862	1	False	-0.215812
1	18	5	0.306581	1	False	-0.235043
1	19	3	0.261827	1	False	-0.254274
1	20	2	0.222179	1	False	-0.273504
1	21	0	0.187233	1	False	-0.292735
1	22	0	0.156603	1	False	-0.311966
1	23	3	0.12992	1	False	-0.331197
1	24	4	0.106832	1	False	-0.350427
1	25	0	0.0870031	1	False	-0.369658
1	26	0	0.0701113	1	False	-0.388889
1	27	0	0.0558514	1	False	-0.40812
1	28	0	0.0439329	1	False	-0.42735
1	29	0	0.0340812	1	False	-0.446581
1	30	0	0.0260371	1	False	-0.465812
1	31	0	0.0195582	1	False	-0.485043
1	32	1	0.0144188	1	False	-0.504274
1	33	0	0.0104107	1	False	-0.523504
1	34	0	0.00734398	1	False	-0.542735
1	35	0	0.00504743	1	False	-0.561966
1	36	0	0.00336883	1	False	-0.581197
1	37	0	0.00217518	1	False	-0.600427
1	38	0	0.00135258	1	False	-0.619658
1	39	0	0.000805647	1	False	-0.638889
1	40	0	0.00045672	1	False	-0.65812
1	41	0	0.000244511	1	False	-0.67735
1	42	0	0.000122451	1	False	-0.696581
1	43	0	5.66951e-05	1	False	-0.715812
1	44	0	2.39161e-05	1	False	-0.735043
1	45	0	9.02285e-06	0.509998	False	-0.754274
1	46	0	2.97278e-06	0.16803	False	-0.773504
1	47	0	8.29148e-07	0.0468659	True	-0.792735
1	48	0	1.87822e-07	0.0106163	True	-0.811966
1	49	0	3.26566e-08	0.00184585	True	-0.831197
1	50	0	4.02702e-09	0.000227619	True	-0.850427
1	51	0	3.14231e-10	1.77613e-05	True	-0.869658
1	52	0	1.30772e-11	7.39163e-07	True	-0.888889
