Bi-1	M
Bi-12	F
Bi-19	M
Mo1	F
Mo10	M
Mo12	M
Mo18	M
Mo2	F
Mo4	M
Mo5	F
Mo6	M
Mo9	M
Po01	F
Po07	F
Po08	M
Po10	F
Po11	F
Po12	F
Po13	F
Po14	F
Po20	F
Ro-F-1	F
Ro-F-10	F
Ro-F-11	F
Ro-F-13	F
Ro-F-14	F
Ro-F-19	F
Ro-F-20	F
Ro-F-23	F
Ro-F-24	F
Ro-F-27	F
Ro-F-28	F
Ro-F-29	F
Ro-F-30	F
Ro-F-32	F
Ro-F-33	F
Ro-F-34	F
Ro-F-36	F
Ro-F-39	F
Ro-F-40	F
Ro-F-42	F
Ro-F-43	F
Ro-F-44	F
Ro-F-46	F
Ro-F-48	F
Ro-F-5	F
Ro-F-50	F
Ro-F-51	F
Ro-F-52	F
Ro-F-53	F
Ro-F-54	F
Ro-F-56	F
Ro-F-57	F
Ro-F-59	F
Ro-F-6	F
Ro-F-60	F
Ro-F-62	F
Ro-F-63	F
Ro-F-65	F
Ro-F-8	F
Ro-F-9	F
