#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:56523
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
tig00002102	1921114	7472613	1237710	-0.186799	0.0522257	1	False
tig00001700	8296318	10324181	1240281	-0.182178	0.037697	1	False
tig00000185	4737703	12254175	1242232	-0.142134	0.159126	1	False
tig00002203	7120716	7194141	1242629	-0.186579	0.0570461	1	False
tig00000506	17592987	17740257	1243391	0.0367437	0.73162	1	False
tig00001149	3576702	13016613	1246040	0.105171	0.316344	1	False
tig00001817	7257178	9308587	1246785	-0.211661	0.0214594	1	False
tig00004326	19460	83484	1250582	-0.0468647	0.344646	1	False
tig00003307	899760	1128978	1253062	0.0244225	0.884366	1	False
tig00000828	1714286	15455209	1254890	0.285369	0.00264455	1	False
tig00000185	6502650	12254175	1255012	0.214081	0.0215851	1	False
tig00001191	7869009	12033210	1262041	0.184158	0.0602999	1	False
tig00001782	400942	10508961	1263450	-0.115291	0.243325	1	False
tig00001782	5117449	10508961	1267222	0.0536854	0.637872	1	False
tig00002651	1934681	4963919	1267261	0.213861	0.0265929	1	False
tig00000025	2754078	15443400	1267718	-0.0567657	0.164148	1	False
tig00001191	11225118	12033210	1268140	0.0536854	0.637872	1	False
tig00000186	1832807	3292135	1268321	-0.0477448	0.705163	1	False
tig00001463	2495401	4068165	1268943	-0.0492849	0.415347	1	False
tig00000828	15085954	15455209	1270414	-0.20374	0.0353802	1	False
tig00002203	716965	7194141	1276184	0.238504	0.0129805	1	False
tig00001917	4349446	8314474	1278421	-0.0338834	0.826135	1	False
tig00000969	2147486	7279655	1279903	-0.115072	0.264699	1	False
tig00003219	268164	1349077	1280733	-0.0589659	0.486294	1	False
tig00002590	3588892	6826224	1281351	-0.283388	0.00132388	1	False
tig00003307	893378	1128978	1281661	-0.0475248	0.677898	1	False
tig00000380	17612031	20801507	1282296	-0.134873	0.178919	1	False
tig00002610	4158010	5659667	1282976	-0.0314631	0.846007	1	False
tig00000412	6403896	17913698	1283975	0.174257	0.077265	1	False
tig00003219	786536	1349077	1285612	-0.215402	0.00315316	1	False
tig00002651	2325568	4963919	1287307	-0.0827283	0.456541	1	False
tig00000001	2250129	18908168	1287310	-0.10253	0.334553	1	False
tig00001055	13532797	14374819	1287781	-0.172277	0.0524451	1	False
tig00000828	13851834	15455209	1290114	0.228603	0.0176628	1	False
tig00002677	3330299	4194339	1291618	-0.149615	0.13434	1	False
tig00003428	433204	991913	1292704	-0.0567657	0.164148	1	False
tig00000185	7742583	12254175	1296283	-0.0547855	0.566283	1	False
tig00003127	1736055	1838928	1296533	0.228603	0.0176628	1	False
tig00001464	8252371	11227756	1296878	0.166777	0.0925749	1	False
tig00001916	222568	756760	1298318	-0.10539	0.295831	1	False
tig00001055	4860779	14374819	1299371	-0.00550056	1	1	False
tig00001055	3813099	14374819	1300319	0.317712	0.000661748	1	False
tig00001340	11417074	12589972	1301232	-0.0121012	1	1	False
tig00001150	2667175	11181348	1301894	0.00990099	1	1	False
tig00003733	38431	442919	1303452	0.20396	0.0353908	1	False
tig00004326	48431	83484	1303626	-0.166557	0.0870593	1	False
tig00002446	1148075	6334815	1304118	0.20154	0.0370109	1	False
tig00002785	1809915	3274785	1305124	0.270847	0.0035686	1	False
tig00000380	12716059	20801507	1306477	-0.130473	0.109598	1	False
tig00001464	8312885	11227756	1306758	-0.0492849	0.415347	1	False
tig00002102	806433	7472613	1306944	-0.090429	0.397802	1	False
tig00001917	4143307	8314474	1308267	0.134653	0.185677	1	False
tig00000001	13408599	18908168	1308695	0.240704	0.0108505	1	False
tig00001877	609038	1711435	1310352	0.144554	0.151619	1	False
tig00001145	10655000	11768475	1311807	0.152035	0.128613	1	False
tig00004115	84609	123652	1312890	0.275468	0.00376598	1	False
tig00002651	4063869	4963919	1313456	-0.0719472	0.330986	1	False
tig00000938	2305917	6934925	1315735	-0.0121012	1	1	False
tig00001917	6524373	8314474	1315808	0.181738	0.0632652	1	False
tig00000001	93478	18908168	1317557	0.179318	0.0659013	1	False
tig00001783	3378963	10237049	1317952	-0.214081	0.0215851	1	False
tig00001916	150784	756760	1318516	0.241144	0.0106963	1	False
tig00002102	5485910	7472613	1321565	0.156876	0.11597	1	False
tig00002102	5508583	7472613	1325159	-0.20462	0.00753539	1	False
tig00001783	3678390	10237049	1325579	-0.0171617	0.978483	1	False
tig00002651	1385756	4963919	1327331	0.00462046	1	1	False
tig00003307	95941	1128978	1328277	0.238504	0.0129805	1	False
tig00001851	2407531	3088096	1328368	0.191639	0.0487101	1	False
tig00002602	450179	1636001	1329307	-0.0171617	0.978483	1	False
tig00000185	6792158	12254175	1330700	0.162376	0.0713269	1	False
tig00001782	8367835	10508961	1330848	-0.0171617	0.978483	1	False
tig00001782	1213588	10508961	1331154	0.0886689	0.206588	1	False
tig00000506	5238591	17740257	1331425	0.187239	0.0224034	1	False
tig00000828	9902200	15455209	1331958	0.112431	0.282206	1	False
tig00000506	14699734	17740257	1334011	0.112431	0.282206	1	False
tig00000025	10070676	15443400	1336326	0.213641	0.0269492	1	False
tig00001055	5898801	14374819	1338200	-0.0660066	0.538163	1	False
tig00003219	268027	1349077	1338510	-0.354896	9.56107e-05	1	False
tig00003089	1615553	1816781	1340500	0.00220022	1	1	False
tig00000506	16648200	17740257	1341370	0.133113	0.0522491	1	False
tig00001464	5651237	11227756	1343348	-0.0191419	0.968483	1	False
tig00002801	789434	3154085	1344764	-0.0893289	0.253164	1	False
tig00002102	7328015	7472613	1351671	-0.0783278	0.448973	1	False
tig00000380	17612168	20801507	1352402	0.0541254	0.470737	1	False
tig00001149	4254608	13016613	1352749	-0.1967	0.0394303	1	False
tig00000828	13959396	15455209	1353905	-0.245765	0.0101134	1	False
tig00001150	2667312	11181348	1354070	0.135094	0.157435	1	False
tig00002590	6159	6826224	1354081	-0.246425	0.00395332	1	False
tig00003219	268164	1349077	1354104	-0.106931	0.25563	1	False
tig00001939	4936496	8186305	1354139	0.267987	0.00473963	1	False
tig00000506	14699734	17740257	1354890	-0.136854	0.165744	1	False
tig00002203	5040800	7194141	1358664	-0.213861	0.0265929	1	False
tig00002984	1614190	2804958	1360056	-0.124752	0.225006	1	False
tig00002651	2484408	4963919	1360231	-0.020022	0.941983	1	False
tig00001783	9225406	10237049	1360673	-0.194279	0.0401627	1	False
tig00002446	1134029	6334815	1364025	-0.194499	0.027855	1	False
tig00002801	789434	3154085	1364489	-0.130033	0.189415	1	False
tig00003348	553555	1025112	1366297	-0.170957	0.0260136	1	False
tig00000828	10534274	15455209	1366806	-0.168537	0.0352487	1	False
tig00001783	3625165	10237049	1369794	0.0426843	0.739095	1	False
tig00000828	1871625	15455209	1370886	-0.029923	0.804458	1	False
tig00002102	3365029	7472613	1372215	-0.0750275	0.493867	1	False
tig00000380	13743527	20801507	1372957	-0.0270627	0.773889	1	False
tig00000412	4648984	17913698	1373039	-0.159956	0.0695969	1	False
tig00003070	1173238	1906490	1373986	-0.340154	0.000138639	1	False
tig00002102	3824343	7472613	1374289	0.246205	0.00757811	1	False
tig00003204	1071432	1269505	1375229	-0.223102	0.0107148	1	False
tig00000412	8705864	17913698	1376686	-0.178878	0.0625855	1	False
tig00001145	7312175	11768475	1378407	0.112871	0.24764	1	False
tig00000506	16325176	17740257	1378589	-0.0591859	0.260088	1	False
tig00002651	1931386	4963919	1379025	0.236084	0.0137575	1	False
tig00003219	388328	1349077	1379869	-0.310451	0.000636064	1	False
tig00000969	2325709	7279655	1380864	-0.0123212	1	1	False
tig00001817	8075280	9308587	1383025	-0.29813	0.000963276	1	False
tig00003307	378208	1128978	1384055	0.139934	0.152253	1	False
tig00000025	4022735	15443400	1384774	-0.169637	0.0722897	1	False
tig00000380	18896529	20801507	1386121	0.0413641	0.74765	1	False
tig00000185	7266231	12254175	1386253	-0.256546	0.000452961	1	False
tig00002102	2247708	7472613	1386525	0.0121012	1	1	False
tig00000001	10875458	18908168	1387028	0.0228823	0.930886	1	False
tig00001782	2299136	10508961	1388046	0.040044	0.740519	1	False
tig00000185	9377349	12254175	1388455	-0.010121	1	1	False
