#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:56523
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
tig00012845	5350141	11727073	1237710	-0.186799	0.0522257	1	False
tig00002829	5725366	11463733	1240281	-0.182178	0.037697	1	False
tig00000001	19457071	27980525	1242232	-0.142134	0.159126	1	False
tig00003678	71833	5183423	1242629	-0.186579	0.0570461	1	False
tig00000002	11662927	15438777	1243391	0.0367437	0.73162	1	False
tig00012842	6975137	12144728	1246040	0.105171	0.316344	1	False
tig00003921	2376879	4418422	1246785	-0.211661	0.0214594	1	False
tig00000001	1201915	27980525	1250582	-0.0468647	0.344646	1	False
tig00000002	12166296	15438777	1250709	0.00462046	1	1	False
tig00001217	16623131	16845187	1253062	0.0244225	0.884366	1	False
tig00000770	1826336	2390137	1254890	0.285369	0.00264455	1	False
tig00000001	21213319	27980525	1255012	0.214081	0.0215851	1	False
tig00000692	23217340	25323691	1257963	0.134653	0.185677	1	False
tig00001788	4290093	8506232	1262041	0.184158	0.0602999	1	False
tig00000942	11571306	18925939	1263450	-0.115291	0.243325	1	False
tig00000942	6910298	18925939	1267222	0.0536854	0.637872	1	False
tig00003491	4481545	6519104	1267261	0.213861	0.0265929	1	False
tig00001100	5831127	7857597	1267718	-0.0567657	0.164148	1	False
tig00001788	7488078	8506232	1268140	0.0536854	0.637872	1	False
tig00000002	13631802	15438777	1268321	-0.0477448	0.705163	1	False
tig00000245	2762147	30520486	1268943	-0.0492849	0.415347	1	False
tig00001217	11743857	16845187	1274622	-0.144334	0.145771	1	False
tig00003951	632881	1073680	1274946	-0.0193619	0.960374	1	False
tig00002832	5914608	10651886	1279903	-0.115072	0.264699	1	False
tig00004907	1016240	1334656	1280733	-0.0589659	0.486294	1	False
tig00002862	5242744	10843087	1281351	-0.283388	0.00132388	1	False
tig00001217	16617192	16845187	1281661	-0.0475248	0.677898	1	False
tig00000692	7326064	25323691	1282296	-0.134873	0.178919	1	False
tig00000001	13273216	27980525	1283975	0.174257	0.077265	1	False
tig00003149	749405	9029003	1287310	-0.10253	0.334553	1	False
tig00000245	18736612	30520486	1287781	-0.172277	0.0524451	1	False
tig00000618	1508939	1684207	1290114	0.228603	0.0176628	1	False
tig00003149	7644761	9029003	1291618	-0.149615	0.13434	1	False
tig00000001	22464160	27980525	1296283	-0.0547855	0.566283	1	False
tig00001595	8904900	9008369	1296533	0.228603	0.0176628	1	False
tig00000245	22513501	30520486	1296878	0.166777	0.0925749	1	False
tig00002298	11326211	13291068	1298318	-0.10539	0.295831	1	False
tig00000245	10323165	30520486	1299371	-0.00550056	1	1	False
tig00000245	9269262	30520486	1300319	0.317712	0.000661748	1	False
tig00002437	8556591	11926864	1301232	-0.0121012	1	1	False
tig00001327	7520857	9892790	1301894	0.00990099	1	1	False
tig00004359	1393983	2716651	1303452	0.20396	0.0353908	1	False
tig00000001	1221004	27980525	1303626	-0.166557	0.0870593	1	False
tig00001595	8002021	9008369	1305029	-0.0374037	0.7291	1	False
tig00002829	9587147	11463733	1305124	0.270847	0.0035686	1	False
tig00000692	12501582	25323691	1306477	-0.130473	0.109598	1	False
tig00000245	22456603	30520486	1306758	-0.0492849	0.415347	1	False
tig00012845	4241559	11727073	1306944	-0.090429	0.397802	1	False
tig00000097	5863226	17434254	1308267	0.134653	0.185677	1	False
tig00001184	555663	2587311	1308695	0.240704	0.0108505	1	False
tig00001217	14660158	16845187	1310352	0.144554	0.151619	1	False
tig00001217	3937566	16845187	1311807	0.152035	0.128613	1	False
tig00000097	17194989	17434254	1312890	0.275468	0.00376598	1	False
tig00003491	2386550	6519104	1313456	-0.0719472	0.330986	1	False
tig00001327	2070852	9892790	1315735	-0.0121012	1	1	False
tig00000097	8181798	17434254	1315808	0.181738	0.0632652	1	False
tig00002011	1209056	1223361	1317557	0.179318	0.0659013	1	False
tig00000930	3448861	5659495	1317952	-0.214081	0.0215851	1	False
tig00002298	11257326	13291068	1318516	0.241144	0.0106963	1	False
tig00012845	8916098	11727073	1321565	0.156876	0.11597	1	False
tig00012845	8939025	11727073	1325159	-0.20462	0.00753539	1	False
