#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:68224
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
PGA_scaffold_8__2_contigs__length_24293693	19453125	24293695	987077	0.00486009	0.904725	1	False
PGA_scaffold_1__3_contigs__length_68588310	4045485	68588312	988651	0.0302725	0.272854	1	False
PGA_scaffold_8__2_contigs__length_24293693	11404596	24293695	988663	0.116048	0.000106736	1	False
PGA_scaffold_3__2_contigs__length_37134422	3133743	37134424	1001963	0.149589	6.12769e-11	4.18055e-06	True
PGA_scaffold_4__2_contigs__length_36220498	24438046	36220500	1006860	0.0291222	0.322209	1	False
PGA_scaffold_9__2_contigs__length_24672620	21270600	24672622	1006997	0.090089	0.0011382	1	False
PGA_scaffold_9__2_contigs__length_24672620	15270744	24672622	1013182	0.118109	6.97944e-06	0.476166	False
PGA_scaffold_1__3_contigs__length_68588310	35942864	68588312	1014726	0.0962145	0.000762601	1	False
PGA_scaffold_4__2_contigs__length_36220498	6374306	36220500	1018548	0.118301	1.27494e-06	0.0869816	False
PGA_scaffold_2__3_contigs__length_39821804	13892715	39821807	1022141	-0.0942877	0.00111434	1	False
PGA_scaffold_1__3_contigs__length_68588310	37761332	68588312	1022755	0.115473	4.45696e-06	0.304071	False
PGA_scaffold_10__1_contigs__length_24013043	22005996	24013044	1023177	0.0107459	0.657649	1	False
PGA_scaffold_1__3_contigs__length_68588310	19357673	68588312	1023451	0.089974	0.00245198	1	False
PGA_scaffold_2__3_contigs__length_39821804	9571955	39821807	1025198	-0.0742242	0.000240815	1	False
PGA_scaffold_5__3_contigs__length_33547463	9026598	33547464	1028458	0.129363	1.30871e-05	0.892853	False
PGA_scaffold_6__2_contigs__length_31822043	102276	31822045	1028814	0.0640439	0.0256052	1	False
PGA_scaffold_1__3_contigs__length_68588310	67872516	68588312	1036113	0.101669	6.11265e-05	1	False
PGA_scaffold_13__1_contigs__length_14207122	9066629	14207123	1036879	0.0560971	0.0606743	1	False
PGA_scaffold_1__3_contigs__length_68588310	43465937	68588312	1038439	-0.0194116	0.523684	1	False
PGA_scaffold_10__1_contigs__length_24013043	4183688	24013044	1038968	0.0101995	0.774516	1	False
PGA_scaffold_6__2_contigs__length_31822043	19763719	31822045	1042139	0.135009	1.2417e-07	0.00847139	True
PGA_scaffold_11__2_contigs__length_17094816	7328386	17094818	1044734	0.143636	1.58454e-11	1.08104e-06	True
PGA_scaffold_6__2_contigs__length_31822043	15140986	31822045	1046933	0.0272817	0.203107	1	False
PGA_scaffold_7__2_contigs__length_31062125	12864332	31062127	1048052	0.0690958	0.019457	1	False
PGA_scaffold_3__2_contigs__length_37134422	28196338	37134424	1048908	0.0326978	0.0912457	1	False
PGA_scaffold_4__2_contigs__length_36220498	21050515	36220500	1050571	0.174542	1.04949e-12	7.16007e-08	True
PGA_scaffold_7__2_contigs__length_31062125	23383053	31062127	1051826	0.0315954	0.319483	1	False
PGA_scaffold_2__3_contigs__length_39821804	35942383	39821807	1052314	0.0216739	0.42817	1	False
PGA_scaffold_6__2_contigs__length_31822043	1337878	31822045	1054486	0.125155	4.66238e-07	0.0318086	True
PGA_scaffold_13__1_contigs__length_14207122	1373184	14207123	1058353	0.0881335	0.000589967	1	False
PGA_scaffold_2__3_contigs__length_39821804	30211512	39821807	1058438	-0.0692971	0.000408876	1	False
PGA_scaffold_11__2_contigs__length_17094816	17047262	17094818	1064328	0.0784037	0.0030042	1	False
PGA_scaffold_3__2_contigs__length_37134422	35549472	37134424	1064594	0.15166	4.05231e-13	2.76465e-08	True
PGA_scaffold_7__2_contigs__length_31062125	20875821	31062127	1067136	0.116105	1.78746e-06	0.121947	False
PGA_scaffold_7__2_contigs__length_31062125	11520230	31062127	1067904	0.141345	3.36633e-10	2.29665e-05	True
PGA_scaffold_1__3_contigs__length_68588310	9916162	68588312	1079197	0.0390533	0.14546	1	False
PGA_scaffold_1__3_contigs__length_68588310	25972159	68588312	1079839	0.133351	1.84456e-07	0.0125843	True
