#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:68224
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
ptg000028l	9019334	11766104	988268	0.0928403	0.000263369	1	False
ptg000017l	16515114	23459760	988487	0.133408	4.07113e-06	0.277749	False
ptg000009l	24762107	27895991	996234	0.149589	6.12769e-11	4.18055e-06	True
ptg000016l	17997419	23567710	1003950	0.129363	1.30871e-05	0.892853	False
ptg000011l	21562606	21665023	1004267	0.0640439	0.0256052	1	False
ptg000015l	9185447	36964833	1007980	0.0962145	0.000762601	1	False
ptg000003l	5748956	35595150	1011782	0.118301	1.27494e-06	0.0869816	False
ptg000028l	2364226	11766104	1016821	0.118109	6.97944e-06	0.476166	False
ptg000005l	10191229	24084085	1019059	-0.0942877	0.00111434	1	False
ptg000003l	23812696	35595150	1022127	0.0291222	0.322209	1	False
ptg000028l	8364082	11766104	1022264	0.090089	0.0011382	1	False
ptg000015l	7366979	36964833	1023557	0.115473	4.45696e-06	0.304071	False
ptg000006l	22005996	24013044	1023985	0.0107459	0.657649	1	False
ptg000015l	25770638	36964833	1024250	0.089974	0.00245198	1	False
ptg000005l	14511989	24084085	1026003	-0.0742242	0.000240815	1	False
ptg000006l	4183688	24013044	1028224	0.0101995	0.774516	1	False
ptg000008l	12898429	14188462	1032472	0.0973456	0.0013825	1	False
ptg000002l	13066257	30271790	1032988	0.0264765	0.225757	1	False
ptg000017l	22743827	23459760	1035653	0.0434341	0.148887	1	False
ptg000017l	22743964	23459760	1036722	0.101669	6.11265e-05	1	False
ptg000012l	9066629	14207123	1037496	0.0560971	0.0606743	1	False
ptg000015l	1662374	36964833	1039035	-0.0194116	0.523684	1	False
ptg000011l	1901163	21665023	1040474	0.135009	1.2417e-07	0.00847139	True
ptg000024l	5555897	12884424	1043083	0.143636	1.58454e-11	1.08104e-06	True
ptg000011l	6523896	21665023	1046506	0.0272817	0.203107	1	False
ptg000002l	17407317	30271790	1047619	0.0690958	0.019457	1	False
ptg000007l	8937945	9238333	1049974	0.0326978	0.0912457	1	False
ptg000003l	20425165	35595150	1051642	0.174542	1.04949e-12	7.16007e-08	True
ptg000002l	6888596	30271790	1052901	0.0315954	0.319483	1	False
ptg000019l	323381	4202805	1053393	0.0216739	0.42817	1	False
ptg000023l	47415	4210294	1060271	0.0784037	0.0030042	1	False
ptg000007l	1584811	9238333	1060522	0.15166	4.05231e-13	2.76465e-08	True
ptg000002l	18751419	30271790	1063826	0.141345	3.36633e-10	2.29665e-05	True
ptg000015l	35212149	36964833	1070600	0.0390533	0.14546	1	False
ptg000015l	19156152	36964833	1071227	0.133351	1.84456e-07	0.0125843	True
ptg000012l	1373184	14207123	1073509	0.0881335	0.000589967	1	False
ptg000013l	5407249	11534717	1073596	-0.0692971	0.000408876	1	False
ptg000002l	9395828	30271790	1074237	0.116105	1.78746e-06	0.121947	False
ptg000011l	20327004	21665023	1076593	0.125155	4.66238e-07	0.0318086	True
ptg000003l	7378435	35595150	1083540	0.0708787	0.0184768	1	False
ptg000028l	9137360	11766104	1089471	0.152733	8.43547e-13	5.75502e-08	True
ptg000017l	7461310	23459760	1110337	0.151516	3.78348e-11	2.58124e-06	True
ptg000021l	4412987	10104556	1114156	0.126324	1.61925e-07	0.0110472	True
ptg000028l	10336433	11766104	1114970	0.0865998	0.00134125	1	False
ptg000015l	4795181	36964833	1121155	0.0606601	0.0450157	1	False
ptg000016l	4737098	23567710	1121268	0.0541129	0.0760996	1	False
ptg000013l	569723	11534717	1122735	0.000824392	1	1	False
ptg000019l	4006728	4202805	1127095	-0.0446611	0.103876	1	False
ptg000021l	6735305	10104556	1131535	0.0315762	0.0970384	1	False
ptg000028l	4196298	11766104	1144464	0.114255	1.32514e-05	0.904061	False
ptg000012l	993746	14207123	1148316	0.0704953	0.00251199	1	False
ptg000016l	16815858	23567710	1148858	0.00966266	0.766961	1	False
ptg000017l	19463690	23459760	1149494	0.120496	9.06918e-07	0.0618736	False
