#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:56523
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
ptg000008l	3663326	13911388	1237710	-0.186799	0.0522257	1	False
ptg000002l	14698536	33223256	1240281	-0.182178	0.037697	1	False
ptg000001l	8805760	42346341	1242232	-0.142134	0.159126	1	False
ptg000002l	33155331	33223256	1242629	-0.186579	0.0570461	1	False
ptg000001l	24916372	42346341	1243391	0.0367437	0.73162	1	False
ptg000013l	555645	23657162	1246040	0.105171	0.316344	1	False
ptg000016l	2047389	16501423	1246785	-0.211661	0.0214594	1	False
ptg000011l	9939497	11142428	1250582	-0.0468647	0.344646	1	False
ptg000001l	24412975	42346341	1250709	0.00462046	1	1	False
ptg000009l	25748215	26405311	1253062	0.0244225	0.884366	1	False
ptg000020l	1706220	17855724	1254890	0.285369	0.00264455	1	False
ptg000001l	7035908	42346341	1255012	0.214081	0.0215851	1	False
ptg000017l	2090757	24528028	1257963	0.134653	0.185677	1	False
ptg000086l	9459	16202	1259526	0.251705	0.000131394	1	False
ptg000004l	16838868	29690778	1262041	0.184158	0.0602999	1	False
ptg000023l	11865917	17725455	1263450	-0.115291	0.243325	1	False
ptg000023l	7207625	17725455	1267222	0.0536854	0.637872	1	False
ptg000002l	4491863	33223256	1267261	0.213861	0.0265929	1	False
ptg000014l	11386797	25089096	1267718	-0.0567657	0.164148	1	False
ptg000004l	13660143	29690778	1268140	0.0536854	0.637872	1	False
ptg000001l	22946506	42346341	1268321	-0.0477448	0.705163	1	False
ptg000003l	42647990	45988652	1268943	-0.0492849	0.415347	1	False
ptg000020l	15063257	17855724	1270414	-0.20374	0.0353802	1	False
ptg000009l	20834541	26405311	1274622	-0.144334	0.145771	1	False
ptg000002l	26783234	33223256	1276184	0.238504	0.0129805	1	False
ptg000013l	10892431	23657162	1278421	-0.0338834	0.826135	1	False
ptg000005l	9040561	14976550	1279903	-0.115072	0.264699	1	False
ptg000004l	29378727	29690778	1280733	-0.0589659	0.486294	1	False
ptg000006l	16795833	22447128	1281351	-0.283388	0.00132388	1	False
ptg000086l	9322	16202	1281453	0.258966	0.000681463	1	False
ptg000009l	25742268	26405311	1281661	-0.0475248	0.677898	1	False
ptg000017l	17542533	24528028	1282296	-0.134873	0.178919	1	False
ptg000015l	1872326	4954407	1282976	-0.0314631	0.846007	1	False
ptg000004l	2086743	29690778	1283975	0.174257	0.077265	1	False
ptg000002l	4108129	33223256	1287307	-0.0827283	0.456541	1	False
ptg000030l	308983	1013663	1287310	-0.10253	0.334553	1	False
ptg000003l	26557952	45988652	1287781	-0.172277	0.0524451	1	False
ptg000020l	13838741	17855724	1290114	0.228603	0.0176628	1	False
ptg000003l	44709673	45988652	1292704	-0.0567657	0.164148	1	False
ptg000001l	5781931	42346341	1296283	-0.0547855	0.566283	1	False
ptg000009l	84716	26405311	1296533	0.228603	0.0176628	1	False
ptg000003l	2957017	45988652	1296878	0.166777	0.0925749	1	False
ptg000010l	2039611	13421328	1298318	-0.10539	0.295831	1	False
ptg000003l	35251824	45988652	1299371	-0.00550056	1	1	False
ptg000003l	36300246	45988652	1300319	0.317712	0.000661748	1	False
ptg000019l	10968735	13984140	1301232	-0.0121012	1	1	False
ptg000086l	9459	16202	1301849	0.0831683	0.4301	1	False
ptg000003l	19695241	45988652	1301894	0.00990099	1	1	False
ptg000034l	45798	1914965	1303452	0.20396	0.0353908	1	False
ptg000011l	9922363	11142428	1303626	-0.166557	0.0870593	1	False
ptg000013l	16119745	23657162	1304118	0.20154	0.0370109	1	False
ptg000002l	18511080	33223256	1305124	0.270847	0.0035686	1	False
ptg000017l	12671537	24528028	1306477	-0.130473	0.109598	1	False
ptg000003l	2911803	45988652	1306758	-0.0492849	0.415347	1	False
ptg000008l	2543976	13911388	1306944	-0.090429	0.397802	1	False
ptg000013l	10687793	23657162	1308267	0.134653	0.185677	1	False
ptg000001l	19131171	42346341	1308695	0.240704	0.0108505	1	False
ptg000009l	23744944	26405311	1310352	0.144554	0.151619	1	False
ptg000009l	13058203	26405311	1311807	0.152035	0.128613	1	False
ptg000013l	22317739	23657162	1312890	0.275468	0.00376598	1	False
ptg000002l	2394091	33223256	1313456	-0.0719472	0.330986	1	False
ptg000005l	2273525	14976550	1315735	-0.0121012	1	1	False
ptg000013l	13180232	23657162	1315808	0.181738	0.0632652	1	False
ptg000003l	23953911	45988652	1317557	0.179318	0.0659013	1	False
ptg000006l	6677130	22447128	1317952	-0.214081	0.0215851	1	False
ptg000010l	2112054	13421328	1318516	0.241144	0.0106963	1	False
ptg000008l	7224000	13911388	1321565	0.156876	0.11597	1	False
ptg000008l	7246673	13911388	1325159	-0.20462	0.00753539	1	False
ptg000006l	6975782	22447128	1325579	-0.0171617	0.978483	1	False
ptg000002l	5034829	33223256	1327331	0.00462046	1	1	False
ptg000007l	311094	2735984	1328039	0.135534	0.0624174	1	False
ptg000009l	24939194	26405311	1328277	0.238504	0.0129805	1	False
ptg000016l	13310087	16501423	1328368	0.191639	0.0487101	1	False
ptg000002l	21377704	33223256	1329307	-0.0171617	0.978483	1	False
ptg000001l	6745955	42346341	1330700	0.162376	0.0713269	1	False
ptg000023l	3961696	17725455	1330848	-0.0171617	0.978483	1	False
ptg000023l	11060678	17725455	1331154	0.0886689	0.206588	1	False
ptg000001l	37215632	42346341	1331425	0.187239	0.0224034	1	False
ptg000020l	9904326	17855724	1331958	0.112431	0.282206	1	False
ptg000001l	27761263	42346341	1334011	0.112431	0.282206	1	False
ptg000086l	9459	16202	1334147	0.246645	0.000920647	1	False
ptg000014l	18706741	25089096	1336326	0.213641	0.0269492	1	False
ptg000003l	34218598	45988652	1338200	-0.0660066	0.538163	1	False
ptg000004l	29378864	29690778	1338510	-0.354896	9.56107e-05	1	False
ptg000001l	25823109	42346341	1341370	0.133113	0.0522491	1	False
ptg000003l	5543208	45988652	1343348	-0.0191419	0.968483	1	False
ptg000002l	25287078	33223256	1344764	-0.0893289	0.253164	1	False
ptg000008l	9065796	13911388	1351671	-0.0783278	0.448973	1	False
ptg000017l	17542670	24528028	1352402	0.0541254	0.470737	1	False
ptg000012l	118164	6896853	1352749	-0.1967	0.0394303	1	False
ptg000020l	13941237	17855724	1353905	-0.245765	0.0101134	1	False
ptg000003l	19695104	45988652	1354070	0.135094	0.157435	1	False
ptg000006l	20384965	22447128	1354081	-0.246425	0.00395332	1	False
ptg000004l	29378727	29690778	1354104	-0.106931	0.25563	1	False
ptg000009l	6649707	26405311	1354139	0.267987	0.00473963	1	False
ptg000001l	27761263	42346341	1354890	-0.136854	0.165744	1	False
ptg000002l	31117885	33223256	1358664	-0.213861	0.0265929	1	False
ptg000008l	194067	13911388	1360056	-0.124752	0.225006	1	False
ptg000002l	3950870	33223256	1360231	-0.020022	0.941983	1	False
ptg000006l	12551997	22447128	1360673	-0.194279	0.0401627	1	False
ptg000002l	31379966	33223256	1363541	-0.19692	0.0288656	1	False
ptg000013l	16103372	23657162	1364025	-0.194499	0.027855	1	False
ptg000002l	25287078	33223256	1364489	-0.130033	0.189415	1	False
ptg000014l	24623181	25089096	1366297	-0.170957	0.0260136	1	False
ptg000020l	10512950	17855724	1366806	-0.168537	0.0352487	1	False
ptg000086l	9459	16202	1368745	0.185039	0.00328901	1	False
ptg000006l	6922287	22447128	1369794	0.0426843	0.739095	1	False
ptg000020l	1860867	17855724	1370886	-0.029923	0.804458	1	False
ptg000008l	5108033	13911388	1372215	-0.0750275	0.493867	1	False
ptg000017l	13689753	24528028	1372957	-0.0270627	0.773889	1	False
ptg000004l	3839710	29690778	1373039	-0.159956	0.0695969	1	False
ptg000037l	142501	889469	1373986	-0.340154	0.000138639	1	False
ptg000008l	5567033	13911388	1374289	0.246205	0.00757811	1	False
ptg000004l	9494756	29690778	1375229	-0.223102	0.0107148	1	False
ptg000011l	205548	11142428	1376686	-0.178878	0.0625855	1	False
ptg000010l	5149387	13421328	1377946	0.0732673	0.503191	1	False
ptg000009l	16389787	26405311	1378407	0.112871	0.24764	1	False
ptg000001l	26148522	42346341	1378589	-0.0591859	0.260088	1	False
ptg000002l	4495178	33223256	1379025	0.236084	0.0137575	1	False
ptg000004l	29259864	29690778	1379869	-0.310451	0.000636064	1	False
ptg000005l	9219782	14976550	1380864	-0.0123212	1	1	False
ptg000007l	311231	2735984	1382268	0.135534	0.0624174	1	False
ptg000016l	1224936	16501423	1383025	-0.29813	0.000963276	1	False
ptg000042l	9412525	9667080	1383894	0.120792	0.0684876	1	False
ptg000009l	25212368	26405311	1384055	0.139934	0.152253	1	False
ptg000014l	12655782	25089096	1384774	-0.169637	0.0722897	1	False
ptg000017l	18839377	24528028	1386121	0.0413641	0.74765	1	False
ptg000001l	6270502	42346341	1386253	-0.256546	0.000452961	1	False
ptg000008l	3992753	13911388	1386525	0.0121012	1	1	False
ptg000014l	8447021	25089096	1387028	0.0228823	0.930886	1	False
ptg000023l	10004062	17725455	1388046	0.040044	0.740519	1	False
ptg000001l	4145319	42346341	1388455	-0.010121	1	1	False
ptg000023l	13760508	17725455	1389630	-0.139494	0.166437	1	False
ptg000002l	16933732	33223256	1389934	0.125633	0.0933242	1	False
ptg000014l	4225437	25089096	1390049	-0.137074	0.17625	1	False
ptg000006l	1610049	22447128	1391013	0.265787	0.00498389	1	False
ptg000003l	35783664	45988652	1391906	0.00748074	1	1	False
ptg000002l	1332413	33223256	1395605	-0.0468647	0.344646	1	False
ptg000017l	16064742	24528028	1397621	-0.0341034	0.800803	1	False
ptg000009l	14152245	26405311	1399477	0.0019802	1	1	False
ptg000005l	28293	14976550	1402031	0.00220022	1	1	False
ptg000003l	41765312	45988652	1402789	-0.150275	0.0537575	1	False
ptg000002l	4107911	33223256	1403899	-0.0369637	0.556881	1	False
ptg000001l	38389271	42346341	1404379	-0.0250825	0.888113	1	False
ptg000009l	24547852	26405311	1408383	0.0244225	0.884366	1	False
ptg000017l	19054421	24528028	1408518	0.0664466	0.368152	1	False
ptg000003l	21219828	45988652	1409528	0.179318	0.0659013	1	False
ptg000009l	17436857	26405311	1410028	-0.00550056	1	1	False
ptg000016l	14386364	16501423	1410771	0.0959296	0.244114	1	False
ptg000013l	23571617	23657162	1411334	-0.142794	0.083804	1	False
ptg000019l	3767446	13984140	1411995	-0.139054	0.123891	1	False
ptg000005l	2492929	14976550	1412675	-0.172277	0.0524451	1	False
ptg000003l	5681400	45988652	1414508	-0.110671	0.196784	1	False
ptg000020l	15840839	17855724	1414745	-0.256326	0.0024475	1	False
ptg000013l	10948422	23657162	1417960	-0.0761276	0.394636	1	False
ptg000086l	9459	16202	1418006	0.251705	0.000131394	1	False
ptg000010l	2715314	13421328	1421502	0.187019	0.0400439	1	False
ptg000014l	17024517	25089096	1424246	-0.184158	0.0602999	1	False
ptg000001l	41048452	42346341	1424613	-0.271067	0.00193032	1	False
ptg000002l	30020771	33223256	1425175	0.218922	0.0210823	1	False
ptg000013l	23571754	23657162	1426445	0.0490649	0.599771	1	False
ptg000010l	1749275	13421328	1427451	0.0831683	0.4301	1	False
ptg000019l	10849760	13984140	1428733	-0.226623	0.00945206	1	False
ptg000016l	6762215	16501423	1430703	-0.0171617	0.978483	1	False
ptg000009l	19614048	26405311	1431100	-0.238944	0.00672538	1	False
ptg000009l	5631738	26405311	1431358	-0.0906491	0.370338	1	False
ptg000005l	5198860	14976550	1432581	0.164356	0.0978383	1	False
ptg000020l	2291336	17855724	1434095	-0.0783278	0.448973	1	False
ptg000020l	14077362	17855724	1435921	-0.280968	0.00118476	1	False
ptg000002l	21283869	33223256	1436126	0.179758	0.0357505	1	False
ptg000002l	14905413	33223256	1437899	-0.0992299	0.202751	1	False
ptg000003l	39146147	45988652	1440435	-0.0151815	1	1	False
ptg000014l	9570526	25089096	1441608	0.166777	0.0925749	1	False
ptg000001l	2425039	42346341	1441755	-0.151155	0.0454082	1	False
ptg000007l	1119187	2735984	1444637	0.137074	0.17625	1	False
ptg000014l	19061824	25089096	1449288	-0.219362	0.00668842	1	False
ptg000009l	25742131	26405311	1450292	-0.080308	0.473425	1	False
ptg000020l	10348102	17855724	1450470	0.142134	0.159126	1	False
ptg000003l	35017397	45988652	1450795	-0.0620462	0.411451	1	False
ptg000009l	23744944	26405311	1451897	-0.226403	0.0154374	1	False
ptg000014l	541703	25089096	1453313	0.327613	0.000424272	1	False
ptg000003l	2889789	45988652	1455004	-0.127833	0.158703	1	False
ptg000011l	4405130	11142428	1456344	-0.0369637	0.556881	1	False
ptg000020l	2680707	17855724	1456366	0.127393	0.211351	1	False
ptg000014l	22082983	25089096	1458165	0.179318	0.0659013	1	False
ptg000003l	18093316	45988652	1458320	-0.271067	0.00193032	1	False
ptg000003l	41139430	45988652	1459531	-0.00726074	1	1	False
ptg000014l	23361510	25089096	1459557	-0.135314	0.119109	1	False
ptg000008l	1130378	13911388	1461839	0.00462046	1	1	False
ptg000006l	15833553	22447128	1462945	-0.0343235	0.744289	1	False
ptg000016l	2927524	16501423	1464536	-0.114852	0.26989	1	False
ptg000001l	27845675	42346341	1464864	-0.0266227	0.887963	1	False
ptg000001l	27007236	42346341	1466322	-0.0690869	0.136133	1	False
ptg000001l	37153603	42346341	1468771	-0.219362	0.00668842	1	False
ptg000002l	9375533	33223256	1469582	-0.020242	0.952758	1	False
ptg000005l	14043495	14976550	1470074	-0.176238	0.055771	1	False
ptg000004l	6499979	29690778	1470420	-0.0369637	0.556881	1	False
ptg000011l	8231947	11142428	1471450	0.119912	0.245806	1	False
ptg000014l	6390701	25089096	1471506	0.206381	0.0335414	1	False
ptg000014l	11131603	25089096	1472259	-0.0468647	0.344646	1	False
ptg000009l	26270140	26405311	1473753	-0.221342	0.0204951	1	False
ptg000009l	23297930	26405311	1475468	-0.115291	0.243325	1	False
ptg000008l	9065659	13911388	1478292	-0.0393839	0.588476	1	False
ptg000010l	11197552	13421328	1479135	-0.0184819	0.978436	1	False
ptg000014l	4225575	25089096	1479266	0.171617	0.0811833	1	False
