#source:radsex-map;min_depth:5;min_qual:20;min_freq:0.1;signif_threshold:0.05;bonferroni:true;n_markers:56523
Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
PGA_scaffold_13__1_contigs__length_14207122	5678032	14207123	1237710	-0.186799	0.0522257	1	False
PGA_scaffold_7__2_contigs__length_31062125	13230748	31062127	1240281	-0.182178	0.037697	1	False
PGA_scaffold_9__2_contigs__length_24672620	17310509	24672622	1242232	-0.142134	0.159126	1	False
PGA_scaffold_7__2_contigs__length_31062125	16974083	31062127	1242629	-0.186579	0.0570461	1	False
PGA_scaffold_9__2_contigs__length_24672620	92518	24672622	1243391	0.0367437	0.73162	1	False
PGA_scaffold_6__2_contigs__length_31822043	21104373	31822045	1246040	0.105171	0.316344	1	False
PGA_scaffold_2__3_contigs__length_39821804	2079809	39821807	1246785	-0.211661	0.0214594	1	False
PGA_scaffold_12__3_contigs__length_13210736	1178901	13210738	1250582	-0.0468647	0.344646	1	False
PGA_scaffold_13__1_contigs__length_14207122	13688477	14207123	1250709	0.00462046	1	1	False
PGA_scaffold_10__1_contigs__length_24013043	23378121	24013044	1253062	0.0244225	0.884366	1	False
PGA_scaffold_5__3_contigs__length_33547463	2408798	33547464	1254890	0.285369	0.00264455	1	False
PGA_scaffold_4__2_contigs__length_36220498	34132717	36220500	1257963	0.134653	0.185677	1	False
PGA_scaffold_11__2_contigs__length_17094816	5976381	17094818	1262041	0.184158	0.0602999	1	False
PGA_scaffold_5__3_contigs__length_33547463	26734282	33547464	1267222	0.0536854	0.637872	1	False
PGA_scaffold_1__3_contigs__length_68588310	58650216	68588312	1267718	-0.0567657	0.164148	1	False
PGA_scaffold_11__2_contigs__length_17094816	2827584	17094818	1268140	0.0536854	0.637872	1	False
PGA_scaffold_9__2_contigs__length_24672620	1783869	24672622	1268321	-0.0477448	0.705163	1	False
PGA_scaffold_13__1_contigs__length_14207122	13688477	14207123	1270414	-0.20374	0.0353802	1	False
PGA_scaffold_10__1_contigs__length_24013043	18667430	24013044	1274622	-0.144334	0.145771	1	False
PGA_scaffold_11__2_contigs__length_17094816	16784159	17094818	1280733	-0.0589659	0.486294	1	False
PGA_scaffold_2__3_contigs__length_39821804	13220553	39821807	1281351	-0.283388	0.00132388	1	False
PGA_scaffold_10__1_contigs__length_24013043	23371988	24013044	1281661	-0.0475248	0.677898	1	False
PGA_scaffold_4__2_contigs__length_36220498	19132058	36220500	1282296	-0.134873	0.178919	1	False
PGA_scaffold_8__2_contigs__length_24293693	21321577	24293695	1283975	0.174257	0.077265	1	False
PGA_scaffold_11__2_contigs__length_17094816	16311143	17094818	1285612	-0.215402	0.00315316	1	False
PGA_scaffold_7__2_contigs__length_31062125	3922713	31062127	1287307	-0.0827283	0.456541	1	False
PGA_scaffold_3__2_contigs__length_37134422	17983520	37134424	1287310	-0.10253	0.334553	1	False
PGA_scaffold_1__3_contigs__length_68588310	19963093	68588312	1287781	-0.172277	0.0524451	1	False
PGA_scaffold_5__3_contigs__length_33547463	14280546	33547464	1290114	0.228603	0.0176628	1	False
PGA_scaffold_5__3_contigs__length_33547463	18337265	33547464	1291618	-0.149615	0.13434	1	False
PGA_scaffold_1__3_contigs__length_68588310	2205249	68588312	1292704	-0.0567657	0.164148	1	False
PGA_scaffold_10__1_contigs__length_24013043	95828	24013044	1296533	0.228603	0.0176628	1	False
PGA_scaffold_1__3_contigs__length_68588310	23708479	68588312	1296878	0.166777	0.0925749	1	False
PGA_scaffold_8__2_contigs__length_24293693	1934920	24293695	1298318	-0.10539	0.295831	1	False
PGA_scaffold_1__3_contigs__length_68588310	11824857	68588312	1299371	-0.00550056	1	1	False
PGA_scaffold_1__3_contigs__length_68588310	10785909	68588312	1300319	0.317712	0.000661748	1	False
PGA_scaffold_4__2_contigs__length_36220498	4098695	36220500	1301232	-0.0121012	1	1	False
PGA_scaffold_1__3_contigs__length_68588310	40419641	68588312	1301894	0.00990099	1	1	False
PGA_scaffold_2__3_contigs__length_39821804	29204616	39821807	1303452	0.20396	0.0353908	1	False
PGA_scaffold_6__2_contigs__length_31822043	7176345	31822045	1304118	0.20154	0.0370109	1	False
PGA_scaffold_7__2_contigs__length_31062125	16395868	31062127	1305124	0.270847	0.0035686	1	False
PGA_scaffold_4__2_contigs__length_36220498	23905217	36220500	1306477	-0.130473	0.109598	1	False
PGA_scaffold_13__1_contigs__length_14207122	4635839	14207123	1306944	-0.090429	0.397802	1	False
PGA_scaffold_6__2_contigs__length_31822043	12524673	31822045	1308267	0.134653	0.185677	1	False
PGA_scaffold_9__2_contigs__length_24672620	5373378	24672622	1308695	0.240704	0.0108505	1	False
PGA_scaffold_10__1_contigs__length_24013043	21449959	24013044	1310352	0.144554	0.151619	1	False
PGA_scaffold_10__1_contigs__length_24013043	11146944	24013044	1311807	0.152035	0.128613	1	False
PGA_scaffold_6__2_contigs__length_31822043	1338015	31822045	1312890	0.275468	0.00376598	1	False
PGA_scaffold_7__2_contigs__length_31062125	2272682	31062127	1313456	-0.0719472	0.330986	1	False
PGA_scaffold_3__2_contigs__length_37134422	12259081	37134424	1315735	-0.0121012	1	1	False
PGA_scaffold_6__2_contigs__length_31822043	9942708	31822045	1315808	0.181738	0.0632652	1	False
PGA_scaffold_1__3_contigs__length_68588310	44605194	68588312	1317557	0.179318	0.0659013	1	False
PGA_scaffold_2__3_contigs__length_39821804	23012926	39821807	1317952	-0.214081	0.0215851	1	False
PGA_scaffold_8__2_contigs__length_24293693	2000587	24293695	1318516	0.241144	0.0106963	1	False
PGA_scaffold_13__1_contigs__length_14207122	9066629	14207123	1321565	0.156876	0.11597	1	False
PGA_scaffold_13__1_contigs__length_14207122	9090482	14207123	1325159	-0.20462	0.00753539	1	False
PGA_scaffold_2__3_contigs__length_39821804	22721189	39821807	1325579	-0.0171617	0.978483	1	False
PGA_scaffold_10__1_contigs__length_24013043	22600489	24013044	1328277	0.238504	0.0129805	1	False
